what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"4",1340340995362
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1340340995362
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1340340995362
java.specification.name,sysinfo,,,"Java Platform API Specification",1340340995362
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340340995362
java.specification.version,sysinfo,,,"1.6",1340340995362
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1340340995362
java.version,sysinfo,,,"1.6.0_31",1340340995362
java.vm.info,sysinfo,,,"mixed mode",1340340995362
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1340340995362
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340340995362
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340340995362
java.vm.specification.version,sysinfo,,,"1.0",1340340995362
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1340340995362
java.vm.version,sysinfo,,,"20.6-b01",1340340995362
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1340340995362
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1340340995425
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1340340995487
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1340340995612
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1340340995674
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1340340995971
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1340340996236
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1340340996251
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1340340996407
started,bundle,amazon.devtools.brazil.eclipse.BrazilEclipsePlugin,1001.254.0,"amazon.devtools.brazil.eclipse.BrazilEclipsePlugin",1340341001867
started,bundle,amazon.ht2.trails.eclipse.plugin.HappyTrailsEclipsePlugin,2004.36.19,"amazon.ht2.trails.eclipse.plugin.HappyTrailsEclipsePlugin",1340341004894
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1340341042395
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1340341042411
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1340341042426
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340341042582
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1340341042957
started,bundle,org.eclipse.mylyn.tasks.index.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.index.core",1340341043799
started,bundle,org.eclipse.mylyn.commons.notifications.ui,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.ui",1340341044485
opened,view,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1340341044673
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1340341044735
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1340341044751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1340341044969
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1340341044969
started,bundle,com.amazon.brazil.eclipse.plugin.BrazilPathEclipsePlugin,1000.91.0,"com.amazon.brazil.eclipse.plugin.BrazilPathEclipsePlugin",1340341050273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340341050850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340341169781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340341196893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340341198063
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340341198375
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1340341200194
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1340360553214
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1340360553216
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1340360553216
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1340360553217
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1340360553218
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1340360553220
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1340360553220
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1340360553221
